what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1336355814000
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.import",1336355814000
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336355820437
started,bundle,com.android.ide.eclipse.ddms,10.0.1.v201103111512-110841,"com.android.ide.eclipse.ddms",1336355824453
started,bundle,com.android.ide.eclipse.adt,10.0.1.v201103111512-110841,"com.android.ide.eclipse.adt",1336355824515
started,bundle,com.android.ide.eclipse.traceview,10.0.1.v201103111512-110841,"com.android.ide.eclipse.traceview",1336355824515
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1336355824718
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.101.r352_v20100209,"org.eclipse.ltk.ui.refactoring",1336355824718
error,log,,,"Unable to read C:\\AndroidManifest.xml: java.io.FileNotFoundException: C:\\AndroidManifest.xml (系统找不到指定的文件。)",1336355827234
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1336355827234
error,log,,,"Unable to read C:\\AndroidManifest.xml: java.io.FileNotFoundException: C:\\AndroidManifest.xml (系统找不到指定的文件。)",1336355827250
error,log,,,"Unhandled event loop exception",1336355836718
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1336355857703
error,log,,,"Unhandled event loop exception",1336355889906
error,log,,,"Unhandled event loop exception",1336355889906
error,log,,,"Unhandled event loop exception",1336355899390
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336355909421
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.newWizard",1336355909437
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1336355910203
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1336355913156
started,bundle,org.eclipse.debug.core,3.5.1.v20091103_r352,"org.eclipse.debug.core",1336355940109
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1336355940125
started,bundle,org.eclipse.pde.core,3.5.101.v20100104,"org.eclipse.pde.core",1336355940234
error,log,,,"Failed to load properties file for project 'Login'",1336355941609
started,bundle,org.eclipse.jst.jee.ui,1.0.201.v201002021208,"org.eclipse.jst.jee.ui",1336355941687
